sku,type,sapo_available,sapo_remain
FM-BRGL03-ES-S-FM-QLTG01-ES-S,combo,18,0
FM-BRGL01-BN-XL-FM-QNGL01-BN-XL,combo,0,0
FM-BRGL01-BN-XL-FM-QNGL01-BN-L,combo,0,0
FM-BRGL01-BN-XL-FM-QNGL01-BN-M,combo,0,0
FM-BRGL01-BN-XL-FM-QNGL01-BN-S,combo,0,0
FM-BRGL01-BN-L-FM-QNGL01-BN-XL,combo,0,0
FM-BRGL01-BN-L-FM-QNGL01-BN-L,combo,0,0
FM-BRGL01-BN-L-FM-QNGL01-BN-M,combo,0,0
FM-BRGL01-BN-L-FM-QNGL01-BN-S,combo,0,0
FM-BRGL01-BN-M-FM-QNGL01-BN-XL,combo,0,0
FM-BRGL01-BN-M-FM-QNGL01-BN-L,combo,0,0
FM-BRGL01-BN-M-FM-QNGL01-BN-M,combo,0,0
FM-BRGL01-BN-M-FM-QNGL01-BN-S,combo,0,0
FM-BRGL01-BN-S-FM-QNGL01-BN-XL,combo,1,0
FM-BRGL01-BN-S-FM-QNGL01-BN-L,combo,0,0
FM-BRGL01-BN-S-FM-QNGL01-BN-M,combo,0,0
FM-BRGL01-BN-S-FM-QNGL01-BN-S,combo,0,0
FM-BRPS01-HP-XL-FM-QLSL01-HP-XL,combo,0,0
FM-BRPS01-HP-XL-FM-QLSL01-HP-L,combo,0,0
FM-BRPS01-HP-XL-FM-QLSL01-HP-M,combo,0,0
FM-BRPS01-HP-XL-FM-QLSL01-HP-S,combo,0,0
FM-BRPS01-HP-L-FM-QLSL01-HP-XL,combo,0,0
FM-BRPS01-HP-L-FM-QLSL01-HP-L,combo,0,0
FM-BRPS01-HP-L-FM-QLSL01-HP-M,combo,0,0
FM-BRPS01-HP-L-FM-QLSL01-HP-S,combo,0,0
FM-BRPS01-HP-M-FM-QLSL01-HP-XL,combo,0,0
FM-BRPS01-HP-M-FM-QLSL01-HP-L,combo,0,0
FM-BRPS01-HP-M-FM-QLSL01-HP-M,combo,0,0
FM-BRPS01-HP-M-FM-QLSL01-HP-S,combo,0,0
FM-BRPS01-HP-S-FM-QLSL01-HP-XL,combo,0,0
FM-BRPS01-HP-S-FM-QLSL01-HP-L,combo,0,0
FM-BRPS01-HP-S-FM-QLSL01-HP-M,combo,0,0
FM-BRPS01-HP-S-FM-QLSL01-HP-S,combo,0,0
FM-QLSL01-HP-L,normal,0,0
FM-QLSL01-HP-M,normal,0,0
FM-QLSL01-HP-S,normal,0,0
FM-QLSL01-HP-XL,normal,0,0
FM-BRPS01-HP-L,normal,0,0
FM-BRPS01-HP-M,normal,0,0
FM-BRPS01-HP-S,normal,0,0
FM-BRPS01-HP-XL,normal,0,0
FM-DSSP02-TR2-2XL,normal,2,0
FM-ATSO01-DB-XL-FM-VXLN01-TR-XL,combo,56,0
FM-ATSO01-DB-XL-FM-VXLN01-TR-L,combo,56,0
FM-ATSO01-DB-XL-FM-VXLN01-TR-M,combo,56,0
FM-ATSO01-DB-XL-FM-VXLN01-TR-S,combo,56,0
FM-ATSO01-DB-L-FM-VXLN01-TR-XL,combo,104,0
FM-ATSO01-DB-L-FM-VXLN01-TR-L,combo,104,0
FM-ATSO01-DB-L-FM-VXLN01-TR-M,combo,104,0
FM-ATSO01-DB-L-FM-VXLN01-TR-S,combo,104,0
FM-ATSO01-DB-M-FM-VXLN01-TR-XL,combo,100,0
FM-ATSO01-DB-M-FM-VXLN01-TR-L,combo,100,0
FM-ATSO01-DB-M-FM-VXLN01-TR-M,combo,100,0
FM-ATSO01-DB-M-FM-VXLN01-TR-S,combo,100,0
FM-ATSO01-DB-S-FM-VXLN01-TR-XL,combo,90,0
FM-ATSO01-DB-S-FM-VXLN01-TR-L,combo,90,0
FM-ATSO01-DB-S-FM-VXLN01-TR-M,combo,90,0
FM-ATSO01-DB-S-FM-VXLN01-TR-S,combo,90,0
