sku,type,sapo_available,shopify_available,diff,sapo_remain,shopify_remain
FM-APGR01-TR-XL,normal,74,0,74,0,0
FM-VXGR01-DO-XL,normal,63,1,62,0,1
FM-VXGR01-DO-L,normal,73,1,72,0,1
FM-VXGR01-DO-M,normal,55,1,54,0,1
FM-VXGR01-DO-S,normal,56,1,55,0,1
FM-DTGR02-BN-XL,normal,82,1,81,0,1
FM-DTGR02-BN-L,normal,120,1,119,0,1
FM-DTGR02-BN-M,normal,122,1,121,0,1
FM-DTGR02-BN-S,normal,67,1,66,0,1
FM-DTGR02-DO-XL,normal,173,1,172,0,1
FM-DTGR02-DO-L,normal,240,1,239,0,1
FM-DTGR02-DO-M,normal,233,1,232,0,1
FM-DTGR02-DO-S,normal,135,1,134,0,1
FM-DTGR01-BN-XL,normal,54,1,53,0,1
FM-DTGR01-BN-L,normal,101,1,100,0,1
FM-DTGR01-BN-M,normal,103,1,102,0,1
FM-DTGR01-BN-S,normal,71,1,70,0,1
FM-DTGR01-DO-XL,normal,84,1,83,0,1
FM-DTGR01-DO-L,normal,153,1,152,0,1
FM-DTGR01-DO-M,normal,138,1,137,0,1
FM-DTGR01-DO-S,normal,75,1,74,0,1
FM-APGR01-TR-L,normal,90,0,90,0,0
FM-APGR01-TR-M,normal,81,1,80,0,1
FM-APGR01-TR-S,normal,77,1,76,0,1
FM-ATGR01-TR-XL,normal,28,1,27,0,1
FM-ATGR01-TR-L,normal,4,1,3,0,1
FM-ATGR01-TR-M,normal,2,1,1,0,1
FM-ATGR01-TR-S,normal,28,1,27,0,1
FM-ATGR01-BN-L,normal,7,1,6,0,1
FM-ATGR01-BN-M,normal,2,1,1,0,1
FM-ATGR01-BN-S,normal,50,1,49,0,1
FM-ATGR01-DO-XL,normal,40,1,39,0,1
FM-ATGR01-DO-L,normal,57,1,56,0,1
FM-ATGR01-DO-M,normal,53,1,52,0,1
FM-ATGR01-DO-S,normal,74,1,73,0,1
FM-QNSO01-BN-XL,normal,23,1,22,0,1
FM-QNSO01-BN-L,normal,0,1,-1,0,1
FM-QDSO01-BN-XL,normal,3,1,2,0,1
FM-QDSO01-DE-XL,normal,37,1,36,0,1
FM-QDSO01-DE-L,normal,26,1,25,0,1
FM-QDSO01-DE-S,normal,13,1,12,0,1
FM-DTSO02-BN-S,normal,28,1,27,0,1
FM-DTSO02-DE-XL,normal,8,1,7,0,1
FM-DTSO02-DE-L,normal,36,1,35,0,1
FM-DTSO02-DE-M,normal,42,1,41,0,1
FM-DTSO02-DE-S,normal,39,1,38,0,1
FM-DTSO01-BN-XL,normal,39,1,38,0,1
FM-DTSO01-BN-L,normal,47,1,46,0,1
FM-DTSO01-BN-M,normal,52,1,51,0,1
FM-DTSO01-BN-S,normal,48,1,47,0,1
FM-DTSO01-DE-XL,normal,33,1,32,0,1
FM-DTSO01-DE-L,normal,43,1,42,0,1
FM-DTSO01-DE-M,normal,41,1,40,0,1
FM-DTSO01-DE-S,normal,45,1,44,0,1
FM-BRSO02-DE-L,normal,59,1,58,0,1
FM-BRSO02-DE-M,normal,119,1,118,0,1
FM-BRSO02-DE-S,normal,99,1,98,0,1
FM-BRSO01-BN-XL,normal,8,1,7,0,1
FM-BRSO01-BN-M,normal,-1,0,-1,0,0
FM-BRSO01-BN-S,normal,-1,0,-1,0,0
FM-BRSO01-DE-XL,normal,37,1,36,0,1
