platform,issue_type,sku,sapo_available,platform_available
pancake,extra_on_platform,6037-2,,0
pancake,extra_on_platform,6038-2,,0
pancake,extra_on_platform,6039-2,,0
pancake,extra_on_platform,6040-2,,0
pancake,extra_on_platform,6041-2,,0
pancake,extra_on_platform,6042-2,,0
pancake,extra_on_platform,6166-2,,0
pancake,extra_on_platform,6167-2,,0
pancake,extra_on_platform,6168-2,,0
pancake,extra_on_platform,6169-2,,0
pancake,extra_on_platform,6170-2,,0
pancake,extra_on_platform,6171-2,,0
pancake,extra_on_platform,6172-2,,0
pancake,extra_on_platform,6173-2,,0
pancake,extra_on_platform,6174-2,,0
pancake,extra_on_platform,6175-2,,0
pancake,extra_on_platform,6176-2,,0
pancake,extra_on_platform,6177-2,,0
pancake,extra_on_platform,6178-2,,0
pancake,extra_on_platform,6179-2,,0
pancake,extra_on_platform,6180-2,,0
pancake,extra_on_platform,6181-2,,0
pancake,extra_on_platform,6182-2,,0
pancake,extra_on_platform,6183-2,,0
pancake,extra_on_platform,6184-2,,0
pancake,extra_on_platform,6185-2,,0
pancake,extra_on_platform,6186-2,,0
pancake,extra_on_platform,6187-2,,0
pancake,extra_on_platform,6188-2,,0
pancake,extra_on_platform,6189-2,,0
pancake,extra_on_platform,6190-2,,0
pancake,extra_on_platform,6241-2,,0
pancake,extra_on_platform,6242-2,,0
pancake,extra_on_platform,6243-2,,0
pancake,extra_on_platform,6244-2,,0
pancake,extra_on_platform,6245-2,,0
pancake,extra_on_platform,6246-2,,0
pancake,extra_on_platform,6247-2,,0
pancake,extra_on_platform,6248-2,,0
pancake,extra_on_platform,6249-2,,0
pancake,extra_on_platform,6250-2,,0
pancake,extra_on_platform,6251-2,,0
pancake,extra_on_platform,6252-2,,0
pancake,extra_on_platform,6253-2,,0
pancake,extra_on_platform,6254-2,,0
pancake,extra_on_platform,6255-2,,0
pancake,extra_on_platform,6256-2,,0
pancake,extra_on_platform,6257-2,,0
pancake,extra_on_platform,6258-2,,0
pancake,extra_on_platform,6259-2,,0
pancake,extra_on_platform,6260-2,,0
pancake,extra_on_platform,6261-2,,0
pancake,extra_on_platform,6262-2,,0
pancake,extra_on_platform,6263-2,,0
pancake,extra_on_platform,6264-2,,0
pancake,extra_on_platform,6265-2,,0
pancake,extra_on_platform,6266-2,,0
pancake,extra_on_platform,6267-2,,0
pancake,extra_on_platform,6268-2,,0
pancake,extra_on_platform,6269-2,,0
pancake,extra_on_platform,6270-2,,0
pancake,extra_on_platform,6271-2,,0
pancake,extra_on_platform,6272-2,,0
pancake,extra_on_platform,6273-2,,0
pancake,extra_on_platform,6274-2,,0
pancake,extra_on_platform,6275-2,,0
pancake,extra_on_platform,6276-2,,0
pancake,extra_on_platform,6277-2,,0
pancake,extra_on_platform,6278-2,,0
pancake,extra_on_platform,6279-2,,0
pancake,extra_on_platform,6280-2,,0
pancake,extra_on_platform,6281-2,,0
pancake,extra_on_platform,6282-2,,0
pancake,extra_on_platform,6283-2,,0
pancake,extra_on_platform,6284-2,,0
pancake,extra_on_platform,6285-2,,0
pancake,extra_on_platform,6286-2,,0
pancake,extra_on_platform,6287-2,,0
pancake,extra_on_platform,6288-2,,0
pancake,extra_on_platform,630-3,,0
pancake,extra_on_platform,631-3,,0
pancake,extra_on_platform,632-3,,0
pancake,extra_on_platform,633-3,,0
pancake,extra_on_platform,6448-2,,0
pancake,extra_on_platform,6449-2,,0
pancake,extra_on_platform,6450-2,,0
pancake,extra_on_platform,6451-2,,0
pancake,extra_on_platform,6452-2,,0
pancake,extra_on_platform,6453-2,,0
pancake,extra_on_platform,6454-2,,0
pancake,extra_on_platform,6455-2,,0
pancake,extra_on_platform,6456-2,,0
pancake,extra_on_platform,6457-2,,0
pancake,extra_on_platform,6458-2,,0
pancake,extra_on_platform,6459-2,,0
pancake,extra_on_platform,6460-2,,0
pancake,extra_on_platform,6461-2,,0
pancake,extra_on_platform,6462-2,,0
