sku,status,diff_sapo_minus_pancake,sapo_available,pancake_available,sapo_remain,pancake_remain,sapo_name,pancake_name,sapo_variant_count,pancake_variant_count
FM-ATSP01-XN-M-FM-QDZT01-DE-2XL,mismatch,-2,75,77,0,77,"Bộ thể thao tập gym yoga Fitme áo thun Simple thấm thoáng khí Xanh Navy, quần legging Zeta Đen co giãn 4 chiều","Bộ thể thao tập gym yoga Fitme áo thun Simple thấm thoáng khí Xanh Navy, quần legging Zeta Đen co giãn 4 chiều",1,1
FM-ATSP01-XN-M-FM-QDZT01-DE-L,mismatch,-2,75,77,0,77,"Bộ thể thao tập gym yoga Fitme áo thun Simple thấm thoáng khí Xanh Navy, quần legging Zeta Đen co giãn 4 chiều","Bộ thể thao tập gym yoga Fitme áo thun Simple thấm thoáng khí Xanh Navy, quần legging Zeta Đen co giãn 4 chiều",1,1
FM-ATSP01-XN-M-FM-QDZT01-DE-M,mismatch,-2,75,77,0,77,"Bộ thể thao tập gym yoga Fitme áo thun Simple thấm thoáng khí Xanh Navy, quần legging Zeta Đen co giãn 4 chiều","Bộ thể thao tập gym yoga Fitme áo thun Simple thấm thoáng khí Xanh Navy, quần legging Zeta Đen co giãn 4 chiều",1,1
FM-ATSP01-XN-M-FM-QDZT01-DE-S,mismatch,-29,43,72,0,72,"Bộ thể thao tập gym yoga Fitme áo thun Simple thấm thoáng khí Xanh Navy, quần legging Zeta Đen co giãn 4 chiều","Bộ thể thao tập gym yoga Fitme áo thun Simple thấm thoáng khí Xanh Navy, quần legging Zeta Đen co giãn 4 chiều",1,1
FM-ATSP01-XN-M-FM-QDZT01-DE-XL,mismatch,-2,75,77,0,77,"Bộ thể thao tập gym yoga Fitme áo thun Simple thấm thoáng khí Xanh Navy, quần legging Zeta Đen co giãn 4 chiều","Bộ thể thao tập gym yoga Fitme áo thun Simple thấm thoáng khí Xanh Navy, quần legging Zeta Đen co giãn 4 chiều",1,1
FM-ATSP01-XN-S,mismatch,-1,209,210,0,210,Áo tập gym yoga nữ Fitme Simple thun basic cổ tròn thoáng khí thấm hút tốt ATSP01#FM-ATSP01-XN-S,Áo tập gym yoga nữ Fitme Simple thun basic cổ tròn chơi pickleball tennis đồ thoáng khí thấm hút tốt ATSP01#FM-ATSP01-XN-S,1,1
FM-ATSP01-XN-S-FM-QDZT01-DE-2XL,mismatch,-12,196,208,0,208,"Bộ thể thao tập gym yoga Fitme áo thun Simple thấm thoáng khí Xanh Navy, quần legging Zeta Đen co giãn 4 chiều","Bộ thể thao tập gym yoga Fitme áo thun Simple thấm thoáng khí Xanh Navy, quần legging Zeta Đen co giãn 4 chiều",1,1
FM-ATSP01-XN-S-FM-QDZT01-DE-L,mismatch,-1,209,210,0,210,"Bộ thể thao tập gym yoga Fitme áo thun Simple thấm thoáng khí Xanh Navy, quần legging Zeta Đen co giãn 4 chiều","Bộ thể thao tập gym yoga Fitme áo thun Simple thấm thoáng khí Xanh Navy, quần legging Zeta Đen co giãn 4 chiều",1,1
FM-ATSP01-XN-S-FM-QDZT01-DE-M,mismatch,-1,209,210,0,210,"Bộ thể thao tập gym yoga Fitme áo thun Simple thấm thoáng khí Xanh Navy, quần legging Zeta Đen co giãn 4 chiều","Bộ thể thao tập gym yoga Fitme áo thun Simple thấm thoáng khí Xanh Navy, quần legging Zeta Đen co giãn 4 chiều",1,1
FM-ATSP01-XN-S-FM-QDZT01-DE-S,mismatch,-29,43,72,0,72,"Bộ thể thao tập gym yoga Fitme áo thun Simple thấm thoáng khí Xanh Navy, quần legging Zeta Đen co giãn 4 chiều","Bộ thể thao tập gym yoga Fitme áo thun Simple thấm thoáng khí Xanh Navy, quần legging Zeta Đen co giãn 4 chiều",1,1
