sku,status,reason,action,sapoAvailable,pancakeAvailable,shopifyAvailable,sapoName,pancakeName,shopifyName
10871-2,partial,Missing Sapo source record,orphan_platform_sku_not_in_sapo,,0,,,"Bộ đồ Pickleball, cầu lông, tennis nữ Fitme CÉ áo khoác Fierce năng động, chân váy xấp ly túi hộp Blazer navy kèm quần bảo hộ",
10872-2,partial,Missing Sapo source record,orphan_platform_sku_not_in_sapo,,0,,,"Bộ đồ Pickleball, cầu lông, tennis nữ Fitme CÉ áo khoác Fierce năng động, chân váy xấp ly túi hộp Blazer navy kèm quần bảo hộ",
10873-2,partial,Missing Sapo source record,orphan_platform_sku_not_in_sapo,,0,,,"Bộ đồ Pickleball, cầu lông, tennis nữ Fitme CÉ áo khoác Fierce năng động, chân váy xấp ly túi hộp Blazer navy kèm quần bảo hộ",
10874-2,partial,Missing Sapo source record,orphan_platform_sku_not_in_sapo,,0,,,"Bộ đồ Pickleball, cầu lông, tennis nữ Fitme CÉ áo khoác Fierce năng động, chân váy xấp ly túi hộp Blazer navy kèm quần bảo hộ",
10875-2,partial,Missing Sapo source record,orphan_platform_sku_not_in_sapo,,0,,,"Bộ đồ Pickleball, cầu lông, tennis nữ Fitme CÉ áo khoác Fierce năng động, chân váy xấp ly túi hộp Blazer navy kèm quần bảo hộ",
10876-2,partial,Missing Sapo source record,orphan_platform_sku_not_in_sapo,,0,,,"Bộ đồ Pickleball, cầu lông, tennis nữ Fitme CÉ áo khoác Fierce năng động, chân váy xấp ly túi hộp Blazer navy kèm quần bảo hộ",
10877-2,partial,Missing Sapo source record,orphan_platform_sku_not_in_sapo,,0,,,"Bộ đồ Pickleball, cầu lông, tennis nữ Fitme CÉ áo khoác Fierce năng động, chân váy xấp ly túi hộp Blazer navy kèm quần bảo hộ",
10878-2,partial,Missing Sapo source record,orphan_platform_sku_not_in_sapo,,0,,,"Bộ đồ Pickleball, cầu lông, tennis nữ Fitme CÉ áo khoác Fierce năng động, chân váy xấp ly túi hộp Blazer navy kèm quần bảo hộ",
10933-1,partial,Missing Sapo source record,orphan_platform_sku_not_in_sapo,,0,,,"Áo ba lỗ tập gym yoga nữ Fitme sát nách form ôm body khoét v1, chất cotton mềm mại ABLN02#FM-ABLN02-CR-2XL",
10934-1,partial,Missing Sapo source record,orphan_platform_sku_not_in_sapo,,0,,,"Áo ba lỗ tập gym yoga nữ Fitme sát nách form ôm body khoét v1, chất cotton mềm mại ABLN02#FM-ABLN02-CR-L",
10935-1,partial,Missing Sapo source record,orphan_platform_sku_not_in_sapo,,0,,,"Áo ba lỗ tập gym yoga nữ Fitme sát nách form ôm body khoét v1, chất cotton mềm mại ABLN02#FM-ABLN02-CR-M",
10936-1,partial,Missing Sapo source record,orphan_platform_sku_not_in_sapo,,0,,,"Áo ba lỗ tập gym yoga nữ Fitme sát nách form ôm body khoét v1, chất cotton mềm mại ABLN02#FM-ABLN02-CR-S",
10937-1,partial,Missing Sapo source record,orphan_platform_sku_not_in_sapo,,0,,,"Áo ba lỗ tập gym yoga nữ Fitme sát nách form ôm body khoét v1, chất cotton mềm mại ABLN02#FM-ABLN02-CR-XL",
10938-1,partial,Missing Sapo source record,orphan_platform_sku_not_in_sapo,,0,,,"Áo ba lỗ tập gym yoga nữ Fitme sát nách form ôm body khoét v1, chất cotton mềm mại ABLN02#FM-ABLN02-DE-2XL",
10939-1,partial,Missing Sapo source record,orphan_platform_sku_not_in_sapo,,0,,,"Áo ba lỗ tập gym yoga nữ Fitme sát nách form ôm body khoét v1, chất cotton mềm mại ABLN02#FM-ABLN02-DE-L",
10940-1,partial,Missing Sapo source record,orphan_platform_sku_not_in_sapo,,0,,,"Áo ba lỗ tập gym yoga nữ Fitme sát nách form ôm body khoét v1, chất cotton mềm mại ABLN02#FM-ABLN02-DE-M",
10941-1,partial,Missing Sapo source record,orphan_platform_sku_not_in_sapo,,0,,,"Áo ba lỗ tập gym yoga nữ Fitme sát nách form ôm body khoét v1, chất cotton mềm mại ABLN02#FM-ABLN02-DE-S",
10942-1,partial,Missing Sapo source record,orphan_platform_sku_not_in_sapo,,0,,,"Áo ba lỗ tập gym yoga nữ Fitme sát nách form ôm body khoét v1, chất cotton mềm mại ABLN02#FM-ABLN02-DE-XL",
10943-1,partial,Missing Sapo source record,orphan_platform_sku_not_in_sapo,,0,,,"Áo ba lỗ tập gym yoga nữ Fitme sát nách form ôm body khoét v1, chất cotton mềm mại ABLN02#FM-ABLN02-TR-2XL",
10944-1,partial,Missing Sapo source record,orphan_platform_sku_not_in_sapo,,0,,,"Áo ba lỗ tập gym yoga nữ Fitme sát nách form ôm body khoét v1, chất cotton mềm mại ABLN02#FM-ABLN02-TR-L",
10945-1,partial,Missing Sapo source record,orphan_platform_sku_not_in_sapo,,0,,,"Áo ba lỗ tập gym yoga nữ Fitme sát nách form ôm body khoét v1, chất cotton mềm mại ABLN02#FM-ABLN02-TR-M",
10946-1,partial,Missing Sapo source record,orphan_platform_sku_not_in_sapo,,0,,,"Áo ba lỗ tập gym yoga nữ Fitme sát nách form ôm body khoét v1, chất cotton mềm mại ABLN02#FM-ABLN02-TR-S",
10947-1,partial,Missing Sapo source record,orphan_platform_sku_not_in_sapo,,0,,,"Áo ba lỗ tập gym yoga nữ Fitme sát nách form ôm body khoét v1, chất cotton mềm mại ABLN02#FM-ABLN02-TR-XL",
10948-1,partial,Missing Sapo source record,orphan_platform_sku_not_in_sapo,,0,,,"Áo ba lỗ tập gym yoga nữ Fitme sát nách ôm body có mút lót, chất cotton co giãn mềm mại ABLN01#FM-ABLN01-CR-2XL",
10949-1,partial,Missing Sapo source record,orphan_platform_sku_not_in_sapo,,0,,,"Áo ba lỗ tập gym yoga nữ Fitme sát nách ôm body có mút lót, chất cotton co giãn mềm mại ABLN01#FM-ABLN01-CR-L",
10950-1,partial,Missing Sapo source record,orphan_platform_sku_not_in_sapo,,0,,,"Áo ba lỗ tập gym yoga nữ Fitme sát nách ôm body có mút lót, chất cotton co giãn mềm mại ABLN01#FM-ABLN01-CR-M",
10951-1,partial,Missing Sapo source record,orphan_platform_sku_not_in_sapo,,0,,,"Áo ba lỗ tập gym yoga nữ Fitme sát nách ôm body có mút lót, chất cotton co giãn mềm mại ABLN01#FM-ABLN01-CR-S",
10952-1,partial,Missing Sapo source record,orphan_platform_sku_not_in_sapo,,0,,,"Áo ba lỗ tập gym yoga nữ Fitme sát nách ôm body có mút lót, chất cotton co giãn mềm mại ABLN01#FM-ABLN01-CR-XL",
10953-1,partial,Missing Sapo source record,orphan_platform_sku_not_in_sapo,,0,,,"Áo ba lỗ tập gym yoga nữ Fitme sát nách ôm body có mút lót, chất cotton co giãn mềm mại ABLN01#FM-ABLN01-DE-2XL",
10954-1,partial,Missing Sapo source record,orphan_platform_sku_not_in_sapo,,0,,,"Áo ba lỗ tập gym yoga nữ Fitme sát nách ôm body có mút lót, chất cotton co giãn mềm mại ABLN01#FM-ABLN01-DE-L",
10955-1,partial,Missing Sapo source record,orphan_platform_sku_not_in_sapo,,0,,,"Áo ba lỗ tập gym yoga nữ Fitme sát nách ôm body có mút lót, chất cotton co giãn mềm mại ABLN01#FM-ABLN01-DE-M",
